Num,Accuracy,Elapsed_time
1,0.982200026512146,19.11888313293457
2,0.980400025844574,18.763856887817383
3,0.9821000099182129,18.79434108734131
4,0.9811000227928162,18.62035822868347
5,0.9819999933242798,18.01394009590149
6,0.9815999865531921,18.31005883216858
7,0.9804999828338623,18.574470043182373
8,0.9811000227928162,18.55995798110962
9,0.9803000092506409,18.75565218925476
10,0.9815000295639038,18.62616991996765
11,0.9825000166893005,19.186920881271362
12,0.9807999730110168,19.002737760543823
13,0.9818999767303467,19.16588306427002
14,0.9811000227928162,19.1734139919281
15,0.9818999767303467,18.70665216445923
16,0.9811000227928162,18.98340392112732
17,0.98089998960495,18.830928802490234
18,0.9793000221252441,18.808999061584473
19,0.9818000197410583,18.681862115859985
20,0.9824000000953674,18.84817886352539
21,0.982200026512146,19.81661295890808
22,0.9800999760627747,19.41858196258545
23,0.9811999797821045,20.217719078063965
24,0.9810000061988831,20.32828402519226
25,0.9812999963760376,19.653321981430054
26,0.9789000153541565,19.57745909690857
27,0.9818000197410583,26.801086902618408
28,0.9818999767303467,21.10240411758423
29,0.9796000123023987,24.722796201705933
30,0.9825999736785889,21.134116172790527
