N_dim,CumVarRat
1,0.1004766332920709
2,0.1759214994467866
3,0.23732666135224462
4,0.29158473527949863
5,0.3418972242872771
6,0.38436085793482416
7,0.4174748956181827
8,0.4469777791017443
9,0.4742763564595662
10,0.49705677049179475
11,0.5183957572165693
12,0.5393477946640463
13,0.5566067757395617
14,0.5734643538850497
15,0.5892251272230768
16,0.6041707498265487
17,0.6171958141559561
18,0.6299804886382818
19,0.6417816734296095
20,0.6532646704132691
21,0.6639287681308036
22,0.6742005471893998
23,0.6839976960033541
24,0.6930163687826089
25,0.7018986744688511
26,0.7101644000086788
27,0.7181618319100287
28,0.7258202107303752
29,0.7329953473057237
30,0.7398679047034843
31,0.74635934738349
32,0.7526309375626085
33,0.7585337816723358
34,0.7643513714601979
35,0.7697987474124512
36,0.7752152989948807
37,0.7802877244897708
38,0.7850989340679915
39,0.7897005950466582
40,0.7942158228399445
41,0.7985860927850646
42,0.8028297328414489
43,0.8069593724474262
44,0.81085568319987
45,0.8146380939483903
46,0.8183427010091711
47,0.8219255437726168
48,0.8252428073185197
49,0.8285109595840742
50,0.8316293793770142
51,0.8346700907429809
52,0.8376484762138673
53,0.8405333413376657
54,0.8433203581782688
55,0.8460505702619532
56,0.848680219886702
57,0.851229847880323
58,0.8537599884020427
59,0.8562055172104884
60,0.8586199710838842
61,0.8609636025914625
62,0.863296990505559
63,0.8655277006111868
64,0.8676830035049761
65,0.8697712275107197
66,0.8717945142675023
67,0.8737897346584561
68,0.8756757718580084
69,0.8775477206796323
70,0.8794044138179646
71,0.8812102956175828
72,0.8829539845794429
73,0.8846585149039361
74,0.8863017785570438
75,0.8879424406641734
76,0.8895162141972889
77,0.8910618074618437
78,0.8925446641936248
79,0.8939751826032917
80,0.8953663580081586
81,0.8967439885384001
82,0.8980858175494134
83,0.8994039652821163
84,0.9007162430339675
85,0.9020114492453184
86,0.9032621758552284
87,0.9044878544579488
88,0.9057039138887494
89,0.9068747443306706
90,0.9080273026495814
91,0.9091327493604723
92,0.9102316385802097
93,0.9113082539810434
94,0.9123804883317906
95,0.9134271458516527
96,0.9144477775718632
97,0.9154504757378152
98,0.9164421003415723
99,0.9174067446439957
100,0.9183553920667499
101,0.9192902469028776
102,0.9202152254206047
103,0.921096644293415
104,0.9219641714068068
105,0.9228163744438499
106,0.9236672687535823
107,0.924507661734548
108,0.9253274077137583
109,0.9261325360764314
110,0.9269145330475733
111,0.9276819259469137
112,0.928442348104741
113,0.9291954368317105
114,0.9299321984966736
115,0.9306591094388754
116,0.9313739260914716
117,0.9320844118148292
118,0.9327851844675399
119,0.9334729528016092
120,0.9341417826336808
121,0.9348062089902045
122,0.9354659572561705
123,0.9361197834812419
124,0.9367637900187049
125,0.9373980244754127
126,0.9380206543875654
127,0.938635451399824
128,0.9392430812758443
129,0.9398430347080031
130,0.94043792372094
131,0.9410261453082643
132,0.9416070882304405
133,0.9421812608781148
134,0.9427399290423034
135,0.9432946947255071
136,0.9438413043458703
137,0.9443807021599809
138,0.9449111195505511
139,0.9454366484720796
140,0.9459549636355904
141,0.9464661509962079
142,0.9469696492642786
143,0.9474681557916856
144,0.9479586260595033
145,0.9484453733995818
146,0.9489214536312949
147,0.9493955196842124
148,0.9498606100689426
149,0.9503231308905661
150,0.9507794163150238
151,0.951226340395422
152,0.9516673010437706
153,0.9521067644400757
154,0.9525430839325276
155,0.9529772693935771
156,0.9534074438341612
157,0.9538331716975484
158,0.9542495810960057
159,0.9546568710601769
160,0.9550582493659456
161,0.955457990249544
162,0.9558491884435043
163,0.9562375542656747
164,0.9566190331592752
165,0.956997334300797
166,0.9573699137020583
167,0.95773772865757
168,0.958103604253551
169,0.958466912157833
170,0.9588260343171509
171,0.9591840990582179
172,0.9595383156837407
173,0.959890335664634
174,0.9602409558663592
175,0.9605878788614933
176,0.9609325201812916
177,0.9612712069648128
178,0.96160633176276
179,0.9619368304461475
180,0.9622660529548561
181,0.9625921879153259
182,0.9629134908401399
183,0.9632338748380397
184,0.963551704217202
185,0.9638670455740456
186,0.9641798830409991
187,0.9644911283024923
188,0.964800017171032
189,0.9651062783429808
190,0.9654088063014359
191,0.9657068235657625
192,0.9660038413303985
193,0.9662966941309895
194,0.9665858552332848
195,0.9668737503642904
196,0.9671564535271028
197,0.9674383253373151
198,0.967717150636566
199,0.9679934882250385
200,0.9682670768648974
201,0.9685392010834644
202,0.9688087306656824
203,0.9690754202461804
204,0.9693371918851345
205,0.9695981251890122
206,0.9698573868875318
207,0.9701152055504417
208,0.970371025932856
209,0.9706258796509789
210,0.9708792609751041
211,0.9711323139894552
212,0.9713828035650214
213,0.9716296090490013
214,0.9718745616064655
215,0.9721175102223845
216,0.972359860598484
217,0.9725998023210712
218,0.9728376182704154
219,0.9730744601989451
220,0.9733079681291059
221,0.9735396431353385
222,0.9737683336780666
223,0.9739954357354986
224,0.9742212383409685
225,0.9744463287473035
226,0.9746696447026862
227,0.9748914123635318
228,0.9751103855951939
229,0.9753285871225037
230,0.9755431593343429
231,0.9757570949720352
232,0.9759695882001166
233,0.9761803683642896
234,0.9763900440425001
235,0.976597985199997
236,0.9768049632036213
237,0.9770107720442718
238,0.9772149041778306
239,0.9774184960065178
240,0.9776175921516291
241,0.9778155070525001
242,0.9780126731611658
243,0.9782085768342154
244,0.9784022772233415
245,0.97859414836639
246,0.9787850661165346
247,0.9789742735062452
248,0.979163234318535
249,0.9793499647502243
250,0.9795355217932141
251,0.9797198269030519
252,0.9799038610462832
253,0.9800874124920902
254,0.9802697351757956
255,0.9804496649573989
256,0.9806269247132933
257,0.9808030990421017
258,0.9809789485258188
259,0.9811538130249341
260,0.9813285356189986
261,0.981501394599475
262,0.981673420306261
263,0.9818432316387362
264,0.9820120481794777
265,0.9821803647008698
266,0.9823474858146685
267,0.9825130215016825
268,0.9826771085088826
269,0.9828406936636264
270,0.9830031393735122
271,0.9831641052264514
272,0.9833232979132038
273,0.9834813734525155
274,0.9836380851936665
275,0.9837932120812523
276,0.9839478502845741
277,0.9841013882734527
278,0.9842543407931575
279,0.9844065055762823
280,0.9845575506051436
281,0.9847068083782636
282,0.9848548705681086
283,0.9850024278964178
284,0.9851489081608054
285,0.9852941136116591
286,0.985437520613702
287,0.9855807860195279
288,0.9857229203614095
289,0.9858648890018957
290,0.9860047929169159
291,0.9861438919687585
292,0.9862815880415919
293,0.9864188405487335
294,0.98655381713741
295,0.986688421983706
296,0.9868218793615438
297,0.9869549825941889
298,0.9870866764941041
299,0.9872176328680358
300,0.987347677902255
301,0.9874768810057346
302,0.9876059087959743
303,0.9877334881716651
304,0.9878609251544006
305,0.987986964643998
306,0.9881107529622838
307,0.9882342719384369
308,0.9883562025481079
309,0.9884775910269759
310,0.9885982339690151
311,0.9887173916421634
312,0.9888359586951712
313,0.9889532611238783
314,0.9890699494157565
315,0.989186064647988
316,0.9893015290915786
317,0.9894154945339497
318,0.9895292136326422
319,0.9896415547465756
320,0.9897534427922392
321,0.9898651395245458
322,0.9899758877508724
323,0.9900850873919075
324,0.9901941854978967
325,0.9903024249159493
326,0.9904101204210793
327,0.9905162382684932
328,0.9906219397294973
329,0.9907270639318031
330,0.9908312342930589
331,0.9909345946719621
332,0.9910367728772582
333,0.9911385712075702
334,0.991239965975222
335,0.9913409326712378
336,0.9914408224664256
337,0.9915404179904311
338,0.9916385983212288
339,0.9917358495781673
340,0.9918327351885712
341,0.9919289123051179
342,0.9920240187484154
343,0.9921185191957917
344,0.992212440299026
345,0.9923061808198085
346,0.9923979634368781
347,0.9924895512048959
348,0.9925806154755916
349,0.9926714225039762
350,0.9927598481163282
351,0.9928480863750351
352,0.9929361216369049
353,0.9930232916911443
354,0.9931096151730667
355,0.9931957645785893
356,0.9932814964353172
357,0.9933661142689686
358,0.9934501480474892
359,0.9935328189731224
360,0.9936151391168457
361,0.9936967910621092
362,0.9937781182114779
363,0.9938580594149258
364,0.993936681239884
365,0.9940149971594551
366,0.9940926306094873
367,0.9941697212174606
368,0.9942466193729101
369,0.9943228080372001
370,0.9943983304946938
371,0.9944732674024619
372,0.9945471717303555
373,0.9946206883626278
374,0.9946934825453821
375,0.9947658304888355
376,0.9948378321698675
377,0.9949089532566266
378,0.9949799538517282
379,0.99504971659036
380,0.9951180857521537
381,0.9951859878874136
382,0.995253538262214
383,0.995320427021835
384,0.9953864859441732
385,0.99545190130455
386,0.9955165370672928
387,0.9955802504505589
388,0.9956432895699506
389,0.9957052894992231
390,0.99576673369642
391,0.9958280328017071
392,0.9958883890344303
393,0.995948388189508
394,0.9960075127027104
395,0.9960655796220389
396,0.9961231089752497
397,0.9961801345952255
398,0.9962367595871986
399,0.996292493602672
400,0.996347438228148
401,0.9964016492802524
402,0.9964552436647952
403,0.996508494691611
404,0.9965609061130906
405,0.9966128740490271
406,0.9966642814158297
407,0.9967147214639285
408,0.9967648518849699
409,0.996813689361053
410,0.9968619849074192
411,0.9969096818780354
412,0.9969571517069318
413,0.9970043147703427
414,0.997050699188471
415,0.9970965510025503
416,0.9971418846905207
417,0.9971867174232304
418,0.9972311944831446
419,0.9972746968621512
420,0.9973181584187126
421,0.997360881840388
422,0.9974028713664048
423,0.9974441488173948
424,0.9974851738981142
425,0.9975251699301262
426,0.9975643783561817
427,0.997603344177423
428,0.9976418090635251
429,0.9976801567528338
430,0.9977176801051435
431,0.9977545294105649
432,0.9977910816600999
