Num,Accuracy,Elapsed_time
1,0.9749000072479248,11.279684782028198
2,0.9746000170707703,17.5438129901886
3,0.9739000201225281,20.983224153518677
4,0.9763000011444092,15.820888996124268
5,0.9746999740600586,14.146909952163696
6,0.9778000116348267,11.022212743759155
7,0.9750000238418579,18.99556875228882
8,0.9757000207901001,14.7824068069458
9,0.9757999777793884,11.128960132598877
10,0.9750000238418579,13.255256175994873
11,0.9768000245094299,22.231548070907593
12,0.975600004196167,16.16086196899414
13,0.9760000109672546,20.676526069641113
14,0.9750000238418579,14.663222074508667
15,0.973800003528595,13.936338186264038
16,0.9764999747276306,14.734625101089478
17,0.9746000170707703,15.64552617073059
18,0.9761000275611877,12.065905094146729
19,0.9751999974250793,12.67146635055542
20,0.9764999747276306,13.013652086257935
21,0.9749000072479248,15.892236948013306
22,0.9767000079154968,13.188728094100952
23,0.9743000268936157,10.697311878204346
24,0.9746999740600586,13.384552955627441
25,0.9764999747276306,11.335307121276855
26,0.9757000207901001,11.829592943191528
27,0.9771999716758728,13.23233699798584
28,0.9753000140190125,15.056532144546509
29,0.9749000072479248,17.31708788871765
30,0.9751999974250793,11.621293783187866
